zip_code	MSA_number	MSA_name
68343	99027	NE NONMETROPOLITAN AREA
68344	99027	NE NONMETROPOLITAN AREA
68345	99027	NE NONMETROPOLITAN AREA
68346	99027	NE NONMETROPOLITAN AREA
68347	36540	Omaha-Council Bluffs, NE-IA MSA
68348	99027	NE NONMETROPOLITAN AREA
68349	36540	Omaha-Council Bluffs, NE-IA MSA
68350	99027	NE NONMETROPOLITAN AREA
68351	99027	NE NONMETROPOLITAN AREA
68352	99027	NE NONMETROPOLITAN AREA
68354	99027	NE NONMETROPOLITAN AREA
68355	99027	NE NONMETROPOLITAN AREA
68357	99027	NE NONMETROPOLITAN AREA
68358	30700	Lincoln, NE MSA
68359	99027	NE NONMETROPOLITAN AREA
68360	30700	Lincoln, NE MSA
68361	99027	NE NONMETROPOLITAN AREA
68362	99027	NE NONMETROPOLITAN AREA
68364	30700	Lincoln, NE MSA
68365	99027	NE NONMETROPOLITAN AREA
68366	36540	Omaha-Council Bluffs, NE-IA MSA
68367	99027	NE NONMETROPOLITAN AREA
68368	30700	Lincoln, NE MSA
68370	99027	NE NONMETROPOLITAN AREA
68371	99027	NE NONMETROPOLITAN AREA
68372	30700	Lincoln, NE MSA
68374	99027	NE NONMETROPOLITAN AREA
68375	99027	NE NONMETROPOLITAN AREA
68376	99027	NE NONMETROPOLITAN AREA
68377	99027	NE NONMETROPOLITAN AREA
68378	99027	NE NONMETROPOLITAN AREA
68379	99027	NE NONMETROPOLITAN AREA
68380	99027	NE NONMETROPOLITAN AREA
68381	99027	NE NONMETROPOLITAN AREA
68382	99027	NE NONMETROPOLITAN AREA
68401	99027	NE NONMETROPOLITAN AREA
68402	30700	Lincoln, NE MSA
68403	36540	Omaha-Council Bluffs, NE-IA MSA
68404	30700	Lincoln, NE MSA
68405	30700	Lincoln, NE MSA
68406	99027	NE NONMETROPOLITAN AREA
68407	36540	Omaha-Council Bluffs, NE-IA MSA
68409	36540	Omaha-Council Bluffs, NE-IA MSA
68410	99027	NE NONMETROPOLITAN AREA
68413	36540	Omaha-Council Bluffs, NE-IA MSA
68414	99027	NE NONMETROPOLITAN AREA
68415	99027	NE NONMETROPOLITAN AREA
68416	99027	NE NONMETROPOLITAN AREA
68417	99027	NE NONMETROPOLITAN AREA
68418	99027	NE NONMETROPOLITAN AREA
68419	30700	Lincoln, NE MSA
68420	99027	NE NONMETROPOLITAN AREA
68421	99027	NE NONMETROPOLITAN AREA
68422	99027	NE NONMETROPOLITAN AREA
68423	30700	Lincoln, NE MSA
68424	99027	NE NONMETROPOLITAN AREA
68428	30700	Lincoln, NE MSA
68429	99027	NE NONMETROPOLITAN AREA
68430	30700	Lincoln, NE MSA
68431	99027	NE NONMETROPOLITAN AREA
68433	99027	NE NONMETROPOLITAN AREA
68434	30700	Lincoln, NE MSA
68436	99027	NE NONMETROPOLITAN AREA
68437	99027	NE NONMETROPOLITAN AREA
68438	30700	Lincoln, NE MSA
68439	30700	Lincoln, NE MSA
68440	99027	NE NONMETROPOLITAN AREA
68441	99027	NE NONMETROPOLITAN AREA
68442	99027	NE NONMETROPOLITAN AREA
68443	99027	NE NONMETROPOLITAN AREA
68444	99027	NE NONMETROPOLITAN AREA
68445	99027	NE NONMETROPOLITAN AREA
68446	99027	NE NONMETROPOLITAN AREA
68447	99027	NE NONMETROPOLITAN AREA
68448	99027	NE NONMETROPOLITAN AREA
68450	99027	NE NONMETROPOLITAN AREA
68452	99027	NE NONMETROPOLITAN AREA
68453	99027	NE NONMETROPOLITAN AREA
68454	99027	NE NONMETROPOLITAN AREA
68455	36540	Omaha-Council Bluffs, NE-IA MSA
